Indique si durante la semana pasada, es decir, entre lunes y domingo, trabajó remuneradamente al menos una hora en alguna de las siguientes actividades:;Si trabajó durante la semana pasada, ¿cuántas horas trabajó en total?;Si está trabajando ¿qué tipo de contrato posees en la actualidad?;Other;Al momento de recibir su mayor ingreso, usted:;¿A qué se dedica principalmente la empresa o institución que le genera su mayor fuente de ingresos?;Other;Durante la semana pasada ¿dónde realizó principalmente sus actividades?;Other;Desde el 18 de octubre 2019, tus ingresos respecto a los tres meses anteriores:;¿Tuvo que cambiar por completo de actividad económica como consecuencia del estallido social?;Desde que comenzo la pandemia Covid-19 en marzo de 2020, tus ingresos respecto a los tres meses anteriores:;¿Tuvo que cambiar por completo de actividad económica como consecuencia del Covid-19?;¿Cuál es tu nivel de satisfacción con tu actual situacion laboral?;¿Cuál es tu nivel de satisfacción con tu actual estado de salud?;¿Cuál es tu nivel de satisfacción con su bienestar general?;Todo siguió igual;Perdí mi trabajo;Encontré trabajo;Provocó un bajón anímico;Trajo conflictos familiares;Afectó mi salud corporal y/o mental;Other;Todo siguió igual;Perdí mi trabajo;Encontré trabajo;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;Other;Qué tipo de proyecciones laborales tienes a partir de tu experiencia y en el área de la sociología? (Señalar hasta tres conceptos):;Metodologías cualitativas;Metodologías cuantitativas.;Gestión Pública;Metodología de Intervención;Diseño y evaluación de proyectos;Teoría sociológica;Sociologías en general;Utilización de softwares de análisis;Investigación de mercado;Otros intereses;Usted curso boletas de honorarios durante los años 2018, 2019 y 2020.;Cuántas boletas emitió durante el año 2018;Cuántas boletas emitió durante el año 2019;Cuántas boletas emitió durante el año 2020 (antes del 1 de abril);¿Su única fuente de ingresos durante el año 2018 fueron las boletas de honorarios?;¿Su única fuente de ingresos durante el año 2019 fueron las boletas de honorarios?;¿Su única fuente de ingresos durante el año 2020 ( antes del 1 de abril) fueron las boletas de honorarios?;"De aprobarse una ley que se tramita en el congreso que establece beneficios para los trabajadores a honorarios, que requiere cumplir los siguientes requisitos:  

“Haber emitido boletas de honorarios en a lo menos cuatro meses continuos o discontinuos, de los 12 meses anteriores al 1º de abril de 2020, o haber emitido boletas de honorarios en a los menos 8 meses, continuos o discontinuos, en los 24 meses anteriores a la referida fecha”. 

¿Usted estaría afecto al beneficio?";¿Qué grado académico posee?;Usted obtuvo el título profesional de sociólogo.;¿De qué universidad egresaste?;Comuna de residencia;Comuna donde trabaja;Edad;Género;¿Estás asociado/a al Colegio de Sociólogas y Sociólogos de Chile A.G?;¿Es de su interés asociarse al Colegio de Sociólogas y Sociólogos de Chile A.G?
Trabajo dependiente remunerado;44;Contrato indefinido;;Recibe una liquidación de sueldo;Investigación;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Satisfecho;Satisfecho;;;;Provocó un bajón anímico;;Afectó mi salud corporal y/o mental;;;;;;Tuvo consecuencias emocionales;;;magister, investigación, aumento salario;Muy interesado;Interesado;Interesado;Interesado;Interesado;Poco interés;Interesado;Interesado;Nada de Interés.;metodologías;1;3;1;0;1;0;0;0;Licenciado;1;PUC;ñuñoa;san joaquín;27;Femenino;0;0
Trabajo independiente remunerado;20;Contrato a honorarios;;Entrega boleta de honorarios;Educación o capacitación;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Disminuyeron levemente;0;Insatisfecho;Muy Satisfecho;Satisfecho;;;;;;;Trajo esperanza;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;Integrarme a un departamento de sociología como docente jornada completa;Muy interesado;Poco interés;Indiferente;Interesado;Interesado;Muy interesado;Muy interesado;Indiferente;Poco interés;;1;1;10;8;0;1;1;1;Doctorado;0;Universidad de Chile;providencia;Santiago;38;Femenino;0;0
Trabajo dependiente remunerado;;Contrato indefinido;;Recibe una liquidación de sueldo;Investigación;;;Contrato suspendido;Se mantuvieron igual;0;Disminuyeron totalmente;0;Insatisfecho;Indiferente;Insatisfecho;;;;Provocó un bajón anímico;;;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;;;Investigación académica;Interesado;Muy interesado;Indiferente;Indiferente;Muy interesado;Poco interés;Interesado;Muy interesado;Poco interés;Evaluación de políticas públicas;1;3;2;2;0;0;0;0;Licenciado;1;Pontificia Universidad Católica de Chile;Santiago;Providencia;32;Femenino;0;1
Desempleado;;;;;;;;;Disminuyeron totalmente;1;Disminuyeron totalmente;1;Muy Satisfecho;Muy Satisfecho;Satisfecho;;;;;;;Despidieron;;;;;;;Soledad;Trabajar en gestión organizacional;Muy interesado;Muy interesado;Muy interesado;Interesado;Interesado;Muy interesado;Muy interesado;Interesado;Interesado;Politica;1;0;0;1;0;0;1;0;Licenciado;1;La República;Ñuñoa;Ñuñoa;53;Masculino;1;
Trabajo independiente remunerado;45;Contrato a honorarios;;Entrega boleta de honorarios;Proyectos sociales;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;1;Aumentaron;0;Muy insatisfecho;Satisfecho;Satisfecho;;;;Provocó un bajón anímico;;;;;;Encontré trabajo;;;Afectó mi salud corporal y/o mental;;Fortalecimiento comunitario;Interesado;Indiferente;Interesado;Muy interesado;Muy interesado;Interesado;Interesado;Interesado;Poco interés;;1;2;8;2;1;1;1;0;Licenciado;1;Academia de Humanismo Cristiano;Puente Alto;Lo Prado;31;Femenino;0;0
Trabajo dependiente remunerado;40;Contrata renovable;;Recibe una liquidación de sueldo;Gobierno;;;;Se mantuvieron igual;0;Se mantuvieron igual;0;Indiferente;Satisfecho;Satisfecho;;;;;;;NADA;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;;Muy interesado;Muy interesado;Interesado;Interesado;Interesado;Indiferente;Interesado;Muy interesado;Interesado;;1;0;2;0;0;0;0;0;Licenciado;1;Universidad Alberto Hurtado;Ñuñoa;Providencia;33;Femenino;0;0
Desempleado;;;;;;;;;Disminuyeron totalmente;0;Disminuyeron totalmente;0;Muy insatisfecho;Satisfecho;Insatisfecho;;;;;;;Preocupación por la situación del país;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;Trabajar en alguna institución en el área estadística, o de proyectos o académica.;Poco interés;Muy interesado;Muy interesado;Indiferente;Muy interesado;Interesado;Interesado;Muy interesado;Interesado;Urbanismo y ecología política;1;2;1;1;1;1;1;0;Licenciado;1;Universidad Católica del Maule;Talca;Talca;25;Femenino;0;1
Trabajo dependiente remunerado;55;Contrato a honorarios;;Entrega boleta de honorarios;Educación o capacitación;;En mi hogar en modalidad teletrabajo;;Disminuyeron totalmente;0;Aumentaron;0;Insatisfecho;Insatisfecho;Satisfecho;;;;;;;;;;;;;Afectó mi salud corporal y/o mental;;"pretendo ser contratada de forma indefinida por la Institución de Educación Superior donde me desarrollo; pretendo llegar a ser académica";Muy interesado;Interesado;Interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Poco interés;Me dedico al área de la educación superior, y aseguramiento de la calidad;1;20;20;1;1;1;1;1;Magíster;1;Arturo Prat;Iquique;Iquique;38;Femenino;0;1
Trabajo dependiente remunerado;40;Contrato indefinido;;Recibe una liquidación de sueldo;Políticas públicas;;En mi hogar en modalidad teletrabajo;;Disminuyeron levemente;0;Disminuyeron levemente;0;Satisfecho;Satisfecho;Satisfecho;;;;Provocó un bajón anímico;;;;;;;;;;Incomodidad y alejamiento de mi familia;Investigación aplicada y Consultoría;Muy interesado;Muy interesado;Interesado;Interesado;Interesado;Interesado;Interesado;Muy interesado;Interesado;Estudio científico de coyuntura socioeconómica;1;30;20;9;0;0;0;1;Magíster;1;UNIVERSIDAD DE LA FRONTERA;Recoleta;Santiago;48;Masculino;1;
Trabajo dependiente remunerado;40;Contrato a honorarios;;Entrega boleta de honorarios;Educación o capacitación;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Insatisfecho;Satisfecho;Satisfecho;Todo siguió igual;;;;;;;;;;;;Afectó mi salud corporal y/o mental;;Contrato Fijo, Investigación Independiente, Valoración profesional;Muy interesado;Muy interesado;Nada de Interés.;Interesado;Interesado;Muy interesado;Muy interesado;Muy interesado;Nada de Interés.;Interdisciplina y Sociología;1;30;20;6;1;1;1;1;Magíster;0;Universidad de Chile;Santiago;Santiago;33;Femenino;0;0
Trabajo dependiente remunerado;45;Contrato indefinido;;Recibe una liquidación de sueldo;;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Satisfecho;Satisfecho;;;;;;Afectó mi salud corporal y/o mental;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;Consultorías en estudios de mercado;Muy interesado;Interesado;Interesado;Indiferente;Indiferente;Indiferente;Interesado;Interesado;Interesado;;0;;;;;;;;Licenciado;1;Universidad central;Providencia;Santiago;34;Femenino;0;1
Desempleado;;;;;;;;;Disminuyeron totalmente;1;Disminuyeron totalmente;1;Muy insatisfecho;Insatisfecho;Insatisfecho;;Perdí mi trabajo;;;;;;;Perdí mi trabajo;;Provocó un bajón anímico;;Afectó mi salud corporal y/o mental;;Docencia, asesorías, capacitación;Interesado;Interesado;Interesado;Interesado;Muy interesado;Interesado;Interesado;Muy interesado;Interesado;Conflictos Socio ambiental;1;24;5;1;1;0;1;1;Licenciado;1;Universidad Arturo Prat;Ovalle;Combarbalá;41;Femenino;0;0
Trabajo dependiente remunerado;50;Contrata renovable;;Recibe una liquidación de sueldo;Educación o capacitación;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Muy Satisfecho;Satisfecho;;;;;;Afectó mi salud corporal y/o mental;;;;;;;Afectó mi salud corporal y/o mental;;Poder contribuir en la salida de la crisis;Muy interesado;Poco interés;Interesado;Interesado;Interesado;Muy interesado;Muy interesado;Interesado;Poco interés;Crisis y poder;1;0;6;1;0;0;0;0;Magíster;0;Universidad de Chile;Huechuraba;Santiago;53;Masculino;0;0
Trabajo independiente remunerado;35;Contrata plazo fijo;;Entrega boleta de honorarios;Gobierno;;En mi hogar en modalidad teletrabajo;;Disminuyeron levemente;0;Disminuyeron levemente;0;Muy insatisfecho;Satisfecho;Insatisfecho;;;;Provocó un bajón anímico;;Afectó mi salud corporal y/o mental;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;Una transformación de las formas de trabajo y una necesidad de abrirse a nuevas formas de generar empleo.;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Interesado;Interesado;Interesado;Cultura y medios de Comunicación;1;8;10;2;1;1;1;1;Licenciado;1;Universidad Alberto Hurtado;Ñuñoa;Providencia;27;Masculino;0;1
Trabajo dependiente remunerado;45;Contrato indefinido;;Recibe una liquidación de sueldo;Educación o capacitación;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Muy Satisfecho;Muy Satisfecho;;;;;;;Recuperar la esperanza de que se puede construir un mejor país.;;;;;;;Menor actividad física;Educación superior, análisis de datos, metodología cuantitativa;Poco interés;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Interesado;Muy interesado;Muy interesado;Muy interesado;;1;3;3;0;0;0;0;0;Licenciado;1;Universidad Alberto Hurtado;Santiago;Providencia;26;Masculino;0;0
Desempleado;;;;;;;;;Disminuyeron totalmente;1;Disminuyeron totalmente;1;Muy insatisfecho;Satisfecho;Satisfecho;;;;;;Afectó mi salud corporal y/o mental;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;Hacer magister y trabajar en el extranjero;Muy interesado;Muy interesado;Poco interés;Muy interesado;Muy interesado;Interesado;Interesado;Muy interesado;Muy interesado;;0;;;;;;;;Licenciado;1;Pontificia universidad católica de chile;Estación Central;;27;Femenino;0;1
Trabajo dependiente remunerado;44;Contrata renovable;;Recibe una liquidación de sueldo;Educación o capacitación;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Satisfecho;Satisfecho;Todo siguió igual;;;Provocó un bajón anímico;;;;Todo siguió igual;;;Provocó un bajón anímico;;;;Académica;Interesado;Interesado;Indiferente;Interesado;Poco interés;Muy interesado;Muy interesado;Muy interesado;Poco interés;Ninguno;0;;;;;;;;Magíster;1;Universidad Central de Chile;Antofagasta;Antofagasta;31;Masculino;0;0
Trabajo dependiente remunerado;45;Contrato indefinido;;Recibe una liquidación de sueldo;Marketing o comunicación;;En mi hogar en modalidad teletrabajo;;Aumentaron;0;Se mantuvieron igual;0;Satisfecho;Satisfecho;Satisfecho;Todo siguió igual;;;;;;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;;;Ninguna.;Interesado;Interesado;Poco interés;Poco interés;Interesado;Interesado;Indiferente;Muy interesado;Muy interesado;Sociología de la religión;1;15;1;0;1;0;0;0;Magíster;1;Universidad Alberto Hurtado;Ñuñoa;Providencia;26;Femenino;0;0
Trabajo independiente remunerado;50;Contrato a honorarios;;Entrega boleta de honorarios;Educación o capacitación;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Disminuyeron levemente;0;Satisfecho;Insatisfecho;Insatisfecho;;;;;Trajo conflictos familiares;;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;Teletrabajo, consultoría a distancia;Interesado;Muy interesado;Interesado;Interesado;Interesado;Muy interesado;Interesado;Muy interesado;Interesado;Big data;1;32;10;2;1;1;1;1;Licenciado;0;Arcis;Santiago;Vitacura;45;Masculino;0;1
Trabajo independiente remunerado;46;Contrato indefinido;;Entrega boleta de honorarios;Educación o capacitación;;En mi hogar en modalidad teletrabajo;;Aumentaron levemente;0;Se mantuvieron igual;0;Insatisfecho;Muy insatisfecho;Satisfecho;;;;Provocó un bajón anímico;;;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;No tengo;Poco interés;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Interesado;Interesado;Muy interesado;Indiferente;Investigaciones familiares;1;10;10;1;1;0;0;1;Licenciado;1;Alberto Hurtado;Ñuñoa;Santiago;24;Femenino;0;0
Desempleado;;;;;;;;;Disminuyeron totalmente;1;Disminuyeron totalmente;1;Muy insatisfecho;Satisfecho;Insatisfecho;;;;;Trajo conflictos familiares;Afectó mi salud corporal y/o mental;;;;;;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;Encontrar trabajo estable de oficina;Indiferente;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Indiferente;Interesado;Muy interesado;Muy interesado;investigación;1;5;25;0;1;1;0;1;Licenciado;1;Alberto Hurtado;Maipú;'-;25;Femenino;0;1
Trabajo dependiente remunerado;45;Contrata plazo fijo;;Recibe una liquidación de sueldo;Educación o capacitación;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Muy Satisfecho;Satisfecho;Satisfecho;;;;Provocó un bajón anímico;;Afectó mi salud corporal y/o mental;;;;;;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;Incertidumbre, esperanza, mejoría;Interesado;Muy interesado;Muy interesado;Poco interés;Interesado;Poco interés;Muy interesado;Interesado;Poco interés;Educación, investigación interdisciplinar;1;14;12;0;1;1;0;1;Licenciado;1;Universidad de Concepción;Providencia;Santiago;30;Femenino;0;1
Desempleado;;;;;;;;;Se mantuvieron igual;0;Se mantuvieron igual;0;Indiferente;Satisfecho;Satisfecho;;;;;;;Afectó la vida cotidiana, las relaciones con los demás, el estado de ánimo para bien y para mal.... muchas cosas;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;;;La situación del empleo y económica es muy mala en todo el mundo así que mus expectativas deben ajustarse a eso.;Muy interesado;Muy interesado;Interesado;Interesado;Poco interés;Interesado;Muy interesado;Interesado;Muy interesado;Psicología, biología, voluntariado, filosofía;0;;;;;;;;Magíster;1;Universidad de Chile;Ñuñoa;No trabajo;50;Femenino;0;1
Trabajo independiente remunerado;16;Contrato a honorarios;;Entrega boleta de honorarios;Políticas públicas;;En mi hogar en modalidad teletrabajo;;Disminuyeron totalmente;1;Disminuyeron totalmente;1;Insatisfecho;Satisfecho;Insatisfecho;;Perdí mi trabajo;;;;;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;;;bajas/inestables y mal pagadas;Interesado;Interesado;Interesado;Interesado;Muy interesado;Interesado;Interesado;Interesado;Poco interés;Evaluación y diseño de encuestas;1;4;4;1;0;0;1;1;Magíster;1;Católica;La Reina;La Reina;49;Femenino;0;1
Trabajo dependiente remunerado;40;Contrato indefinido;;Recibe una liquidación de sueldo;Investigación;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Indiferente;Insatisfecho;Insatisfecho;Todo siguió igual;;;;;;;;;;Provocó un bajón anímico;;;;No entiendo la pregunta;Nada de Interés.;Muy interesado;Muy interesado;Indiferente;Muy interesado;Interesado;Indiferente;Muy interesado;Indiferente;;0;;;;;;;;Licenciado;1;Católica;San Vicente;Macul;27;Masculino;0;0
Trabajo dependiente remunerado;40;Contrato indefinido;;Recibe una liquidación de sueldo;Educación o capacitación;;En mi hogar en modalidad teletrabajo;;Aumentaron levemente;0;Se mantuvieron igual;0;Muy Satisfecho;Muy Satisfecho;Satisfecho;Todo siguió igual;;;;;;;;;;;Tuvo consecuencias emocionales;;;Formación continúa liderazgo innovación;Interesado;Muy interesado;Muy interesado;Muy interesado;Interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;;0;;;;;;;;Licenciado;1;Universidad Central de Chile;Antofagasta;Antofagasta;28;Masculino;1;
Trabajo dependiente remunerado;30;Contrato indefinido;;Recibe una liquidación de sueldo;Estudios de mercado;;En mi hogar en modalidad teletrabajo;;Aumentaron levemente;0;Se mantuvieron igual;0;Satisfecho;Insatisfecho;Insatisfecho;;;;;;;Dudas sobre el propósito de mi carrera y trabajo;;;;;Tuvo consecuencias emocionales;;;Me veo como un analista.  Quiero aportar a visibilzar la realidad laboral de las personas y transparentar las agendas corporativas para incidir en la construcción de una sociedad justa. No sé que proyección implique eso.;Poco interés;Interesado;Interesado;Interesado;Interesado;Interesado;Muy interesado;Interesado;Indiferente;Análisis integrado de las politicas públicas y privadas o corporativas, en cuanto a sus fundamentos y consecuencias;1;3;0;0;1;0;0;0;Licenciado;1;U. Alberto Hurtado;Santiago centro;Vitacura;26;Masculino;0;1
Desempleado;;;;;;;;;Disminuyeron totalmente;0;Disminuyeron totalmente;1;Muy insatisfecho;Satisfecho;Insatisfecho;;Perdí mi trabajo;;;;Afectó mi salud corporal y/o mental;;;Perdí mi trabajo;;Provocó un bajón anímico;Tuvo consecuencias emocionales;;;Espero poder seguir educándome y dedicarme a las políticas públicas;Indiferente;Nada de Interés.;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Indiferente;Poco interés;Fondos y becas de educación;1;15;10;0;1;1;0;1;Licenciado;1;Universidad Alberto Hurtado;La reina;No aplica;26;Masculino;0;1
Trabajo dependiente remunerado;6;Contrato indefinido;;Recibe una liquidación de sueldo;Estudios de mercado;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Disminuyeron totalmente;0;Satisfecho;Satisfecho;Satisfecho;Todo siguió igual;;;Provocó un bajón anímico;;Afectó mi salud corporal y/o mental;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;;Me disminuyeron el sueldo, hay mucha incertidumbre sobre qué pasará el segundo semestre;He tenido trabajo desde que egresé, pero siempre he sabido que no puedo aspirar a tener un sueldo alto ni acceder a grandes lujos.;Muy interesado;Interesado;Muy interesado;;Muy interesado;Indiferente;Muy interesado;Muy interesado;Indiferente;Investigación educativa;1;12;12;3;1;0;0;1;Magíster;1;Universidad Alberto Hurtado;Ñuñoa;providencia;28;Femenino;0;1
Trabajo dependiente remunerado;8;Contrato a honorarios;;Entrega boleta de honorarios;Educación o capacitación;;En mi hogar en modalidad teletrabajo;;Disminuyeron levemente;1;Se mantuvieron igual;0;Insatisfecho;Satisfecho;Indiferente;;;;;;;Volvi al pais;;;;;Tuvo consecuencias emocionales;;;Trabajo academico;Interesado;Interesado;Interesado;Interesado;Indiferente;Interesado;Interesado;Interesado;Indiferente;Docencia;0;;;;;;;;Doctorado;1;Universidad de Chile;Macul;Rancagua;39;Masculino;0;1
Trabajo por cuenta propia;10;;Jubilado y sin dependencia;Entrega boleta de honorarios;;Seguro;;En casa;Se mantuvieron igual;0;Disminuyeron totalmente;1;;Muy insatisfecho;Satisfecho;Todo siguió igual;;;;;;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;Ya no estoy en condiciones de trabajar;Poco interés;Poco interés;Nada de Interés.;Nada de Interés.;Nada de Interés.;Nada de Interés.;Nada de Interés.;Nada de Interés.;Poco interés;Estoy escribiendo.;1;12;12;2;1;1;1;1;Licenciado;1;U de C;Coyhaique;Coyhaique;72;Masculino;1;
Trabajo dependiente remunerado;45;Contrato indefinido;;Recibe una liquidación de sueldo;Educación o capacitación;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Muy Satisfecho;Muy Satisfecho;Satisfecho;Todo siguió igual;;;;;Afectó mi salud corporal y/o mental;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;<estudios;Muy interesado;Indiferente;Interesado;Indiferente;Interesado;Interesado;Muy interesado;Indiferente;Muy interesado;sss;0;;;;;;;;Licenciado;1;Universidad La República;Las Condes;Santiago;48;Femenino;1;
Trabajo dependiente remunerado;45;Contrato indefinido;;Recibe una liquidación de sueldo;Banca;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Muy Satisfecho;Muy Satisfecho;Todo siguió igual;;;;;;;;;;;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;;Interesado;Interesado;Poco interés;Muy interesado;Interesado;Poco interés;Interesado;Muy interesado;Interesado;;0;;;;;;;;Magíster;1;Universidad de Concepción;Providencia;Santiago;29;Masculino;0;0
Trabajo dependiente remunerado;40;Contrato indefinido;;Recibe una liquidación de sueldo;Estudios de mercado;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Disminuyeron levemente;0;Muy Satisfecho;Muy Satisfecho;Muy Satisfecho;Todo siguió igual;;;;;;;Todo siguió igual;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;;;"promoción
aumento de salario";Poco interés;Poco interés;Poco interés;Poco interés;Interesado;Poco interés;Poco interés;Indiferente;Interesado;;0;;;;;;;;Licenciado;1;Universidad de Valparaiso;Villa Alemana;Santiago;37;Masculino;0;0
Trabajo dependiente remunerado;15;Contrato indefinido;;Recibe una liquidación de sueldo;Educación o capacitación;;En mi hogar en modalidad teletrabajo;;Disminuyeron totalmente;0;Disminuyeron levemente;1;Insatisfecho;Satisfecho;Indiferente;;;;;;Afectó mi salud corporal y/o mental;;;Perdí mi trabajo;;;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;Iniciar un emprendimiento;Interesado;Interesado;Indiferente;Poco interés;Indiferente;Muy interesado;Muy interesado;Muy interesado;Interesado;Consultoria;1;12;5;2;1;0;0;1;Magíster;1;Universidad Alberto Hurtado;Rancagua;Rancagua y Santiago;25;Masculino;0;1
